Country,Edu,Sex,Age,px,lx,dx,Lx,Tx,ex.derived,ex.original,diff
EL,lower,F,69,0.9912610753006342,88936,777,88548,1620762,18.223913825672394,18.2,-0.02391382567239475
EL,lower,F,70,0.9901617403486772,88159,867,87726,1532214,17.38012001043569,17.4,0.019879989564309142
EL,lower,F,71,0.9890910609379964,87292,953,86816,1444488,16.547770700636942,16.5,-0.04777070063694211
EL,lower,F,72,0.9875863201078068,86339,1071,85804,1357672,15.724898365744334,15.7,-0.024898365744334683
EL,lower,F,73,0.9863280265440086,85268,1166,84685,1271868,14.916123281887696,14.9,-0.01612328188769574
EL,lower,F,74,0.9844830014823152,84102,1305,83450,1187183,14.115990107250719,14.1,-0.01599010725071892
EL,lower,F,75,0.982290631202659,82797,1467,82064,1103733,13.330591688104642,13.3,-0.03059168810464108
EL,lower,F,76,0.9800725277918516,81330,1620,80520,1021669,12.562018935202262,12.5,-0.062018935202262426
EL,lower,F,77,0.9762055237963054,79710,1897,78762,941149,11.807163467569941,11.8,-0.007163467569940352
EL,lower,F,78,0.9718517302092237,77813,2190,76718,862387,11.08281392569365,11.1,0.017186074306350108
EL,lower,F,79,0.9673601343638439,75623,2469,74388,785669,10.389286328233474,10.3,-0.08928632823347371
EL,lower,F,80,0.9620633638662063,73154,2775,71766,711281,9.72306367389343,9.7,-0.023063673893430447
EL,lower,F,81,0.9564597055056434,70379,3064,68847,639515,9.086730416743631,9,-0.08673041674363091
EL,lower,F,82,0.9500299676189917,67315,3364,65633,570668,8.477575577508727,8.4,-0.07757557750872657
EL,lower,F,83,0.942721846123042,63951,3663,62120,505035,7.897218182671107,7.9,0.0027818173288931547
EL,lower,F,84,0.9346591357364149,60288,3939,58318,442915,7.346652733545648,7.3,-0.04665273354564814
EL,lower,F,85,0,56349,56349,384597,384597,6.825267529148698,6.8,-0.025267529148698564
HR,higher,F,0,0.9992451103,100000,75,99962,8129446,81.29446,81.1,-0.19446000000000652
HR,higher,F,1,0.9993642256604996,99925,64,99893,8029484,80.35510632974731,80.5,0.14489367025268507
HR,higher,F,2,0.999506012366246,99861,49,99836,7929591,79.40628473578273,79.5,0.09371526421726628
HR,higher,F,3,0.9996227123844353,99812,38,99793,7829755,78.445026650102193,78.5,0.05497334989780711
